m_university_name,m_major_name
University of Arizona,Archeology
University of Arizona,Economics
University of Arizona,Economics
University of Arizona,Economics
University of Arizona,Geography and Cartography
University of Arizona,Geography and Cartography
University of Arizona,Geography and Cartography
University of Arizona,Geography and Cartography
University of Arizona,Geography and Cartography
University of Arizona,International Relations and National Security Studies
University of Arizona,Political Science and Government
University of Arizona,Political Science and Government
University of Arizona,Political Science and Government
University of Arizona,Sociology
University of Arizona,Sociology
University of Arizona,Sociology
University of Arizona,Social Sciences, Other
University of Arizona,Visual and Performing Arts, General
University of Arizona,Dance
University of Arizona,Dance
University of Arizona,Drama/Theatre Arts and Stagecraft
University of Arizona,Drama/Theatre Arts and Stagecraft
University of Arizona,Film/Video and Photographic Arts
University of Arizona,Film/Video and Photographic Arts
University of Arizona,Fine and Studio Arts
University of Arizona,Fine and Studio Arts
University of Arizona,Fine and Studio Arts
University of Arizona,Music
University of Arizona,Music
University of Arizona,Music
University of Arizona,Visual and Performing Arts, Other
University of Arizona,Communication Disorders Sciences and Services
University of Arizona,Communication Disorders Sciences and Services
University of Arizona,Communication Disorders Sciences and Services
University of Arizona,Communication Disorders Sciences and Services
University of Arizona,Health and Medical Administrative Services
University of Arizona,Health and Medical Administrative Services
University of Arizona,Clinical/Medical Laboratory Science/Research and Allied Professions
University of Arizona,Clinical/Medical Laboratory Science/Research and Allied Professions
University of Arizona,Health/Medical Preparatory Programs
University of Arizona,Health/Medical Preparatory Programs
University of Arizona,Health/Medical Preparatory Programs
University of Arizona,Medicine
University of Arizona,Medicine
University of Arizona,Medical Clinical Sciences/Graduate Medical Studies
University of Arizona,Medical Clinical Sciences/Graduate Medical Studies
University of Arizona,Medical Clinical Sciences/Graduate Medical Studies
University of Arizona,Mental and Social Health Services and Allied Professions
University of Arizona,Mental and Social Health Services and Allied Professions
University of Arizona,Pharmacy, Pharmaceutical Sciences, and Administration
University of Arizona,Pharmacy, Pharmaceutical Sciences, and Administration
University of Arizona,Pharmacy, Pharmaceutical Sciences, and Administration
University of Arizona,Pharmacy, Pharmaceutical Sciences, and Administration
University of Arizona,Pharmacy, Pharmaceutical Sciences, and Administration
University of Arizona,Public Health
University of Arizona,Public Health
University of Arizona,Public Health
University of Arizona,Public Health
University of Arizona,Rehabilitation and Therapeutic Professions
University of Arizona,Rehabilitation and Therapeutic Professions
University of Arizona,Dietetics and Clinical Nutrition Services
University of Arizona,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
University of Arizona,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
University of Arizona,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
University of Arizona,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
University of Arizona,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
University of Arizona,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
University of Arizona,Business/Commerce, General
University of Arizona,Business Administration, Management and Operations
University of Arizona,Business Administration, Management and Operations
University of Arizona,Business Administration, Management and Operations
University of Arizona,Business Administration, Management and Operations
University of Arizona,Accounting and Related Services
University of Arizona,Accounting and Related Services
University of Arizona,Accounting and Related Services
University of Arizona,Business/Managerial Economics
University of Arizona,Entrepreneurial and Small Business Operations
University of Arizona,Entrepreneurial and Small Business Operations
University of Arizona,Finance and Financial Management Services
University of Arizona,Finance and Financial Management Services
University of Arizona,Finance and Financial Management Services
University of Arizona,Finance and Financial Management Services
University of Arizona,Human Resources Management and Services
University of Arizona,International Business
University of Arizona,International Business
University of Arizona,Management Information Systems and Services
University of Arizona,Management Information Systems and Services
University of Arizona,Marketing
University of Arizona,Marketing
University of Arizona,History
University of Arizona,History
University of Arizona,History
University of Arizona,History
California Institute of Technology,Computer and Information Sciences, General
California Institute of Technology,Computer and Information Sciences, General
California Institute of Technology,Computer and Information Sciences, General
California Institute of Technology,Computer Science
California Institute of Technology,Computer Science
California Institute of Technology,Computer Science
California Institute of Technology,Engineering, General
California Institute of Technology,Aerospace, Aeronautical and Astronautical Engineering
California Institute of Technology,Aerospace, Aeronautical and Astronautical Engineering
California Institute of Technology,Aerospace, Aeronautical and Astronautical Engineering
California Institute of Technology,Biomedical/Medical Engineering
California Institute of Technology,Biomedical/Medical Engineering
California Institute of Technology,Biomedical/Medical Engineering
California Institute of Technology,Chemical Engineering
California Institute of Technology,Chemical Engineering
California Institute of Technology,Chemical Engineering
